Site name,(Doc complete) Byets in,(Doc complete) Requests,(Fully loaded) Bytes in,(Fully loaded) Requests,(Fully loaded) Time,DOM elements,First byte,Load time,Speed Index,Start render
http//bbb.org/,905540.0,66.0,916816.0,69.0,33297.0,600.0,750.0,32872.0,3441.0,3400.0
http//bbc.com/,1372121.0,101.0,1812136.0,255.0,20965.0,1360.0,418.0,5211.0,3194.0,2200.0
http//behance.net/,3379805.0,171.0,3385887.0,174.0,8419.0,2387.0,293.0,8249.0,2718.0,2400.0
http//beian.gov.cn/,1646040.0,42.0,1650991.0,43.0,12244.0,470.0,1547.0,11928.0,8731.0,7700.0
http//bing.com/,393785.0,4.0,632268.0,51.0,5737.0,371.0,291.0,1094.0,959.0,500.0
http//blogspot.co.uk/,385382.0,14.0,404423.0,19.0,3395.0,383.0,478.0,1523.0,702.0,700.0
http//bloomberg.com/,2072178.0,251.0,2685213.0,362.0,11508.0,1462.0,411.0,6527.0,3242.0,1100.0
http//businessinsider.com/,3079847.0,257.0,3288210.0,410.0,11546.0,899.0,290.0,8331.0,4056.0,1900.0
http//cdc.gov/,1579956.0,32.0,1748414.0,34.0,3960.0,962.0,692.0,3466.0,1982.0,1600.0
http//constantcontact.com/,2929001.0,142.0,2953212.0,152.0,11320.0,589.0,581.0,8038.0,2149.0,1700.0
http//cpanel.com/,995513.0,48.0,996305.0,49.0,2817.0,306.0,400.0,2704.0,1815.0,1400.0
http//cpanel.net/,995701.0,49.0,996493.0,50.0,3156.0,306.0,703.0,3041.0,2282.0,1800.0
http//dailymotion.com/,9632864.0,418.0,12783762.0,444.0,39177.0,8498.0,1077.0,23098.0,13112.0,5800.0
http//disqus.com/,1008813.0,38.0,1014641.0,46.0,3203.0,289.0,265.0,2906.0,2512.0,2300.0
http//eepurl.com/,173891.0,10.0,180717.0,11.0,1341.0,27.0,320.0,1288.0,676.0,600.0
http//elegantthemes.com/,864285.0,44.0,1451172.0,61.0,6537.0,180.0,444.0,2632.0,1772.0,1600.0
http//github.io/,3729937.0,37.0,3736665.0,38.0,9067.0,259.0,265.0,9015.0,3309.0,700.0
http//gnu.org/,143973.0,14.0,146002.0,15.0,781.0,344.0,280.0,686.0,800.0,800.0
http//google.es/,385405.0,14.0,404437.0,19.0,3347.0,382.0,464.0,1479.0,701.0,700.0
http//google.it/,385443.0,14.0,404484.0,19.0,3428.0,381.0,453.0,1525.0,706.0,700.0
http//harvard.edu/,4354121.0,71.0,4364771.0,74.0,8501.0,914.0,341.0,8063.0,2022.0,1100.0
http//icio.us/,4414.0,2.0,4817.0,3.0,513.0,70.0,247.0,378.0,500.0,500.0
http//joomla.org/,1699873.0,54.0,1701403.0,56.0,5436.0,600.0,997.0,4880.0,2835.0,2300.0
http//latimes.com/,4067805.0,381.0,4111760.0,521.0,27481.0,2399.0,359.0,12171.0,2779.0,1000.0
http//line.me/,3334005.0,35.0,3366269.0,36.0,9615.0,266.0,2033.0,8997.0,8120.0,3300.0
http//list-manage.com/,1029.0,2.0,1700.0,3.0,763.0,3.0,327.0,344.0,400.0,400.0
http//live.com/,2066294.0,22.0,2616910.0,31.0,5766.0,98.0,315.0,4250.0,1842.0,1700.0
http//medium.com/,1471537.0,28.0,6434893.0,64.0,13532.0,1285.0,391.0,3184.0,1965.0,1700.0
http//mit.edu/,645128.0,20.0,781440.0,28.0,2476.0,391.0,347.0,1961.0,765.0,600.0
http//npr.org/,795381.0,42.0,3218111.0,199.0,8825.0,1870.0,505.0,2281.0,2080.0,1300.0
http//opera.com/,199288.0,22.0,393023.0,45.0,3118.0,329.0,621.0,1368.0,1934.0,1900.0
http//rambler.ru/,2631636.0,320.0,2634749.0,327.0,20681.0,1278.0,1482.0,15812.0,6233.0,2400.0
http//sina.com.cn/,10770029.0,395.0,10831516.0,405.0,48151.0,5203.0,3002.0,40646.0,11723.0,7400.0
http//spotify.com/,690384.0,86.0,700689.0,99.0,3870.0,250.0,661.0,3120.0,2000.0,2000.0
http//stanford.edu/,7626456.0,55.0,7694397.0,61.0,14857.0,708.0,1339.0,14451.0,5243.0,2700.0
http//time.com/,7925090.0,283.0,8008154.0,347.0,17722.0,1830.0,113.0,15790.0,9006.0,1700.0
http//tripadvisor.com/,662966.0,28.0,1212797.0,100.0,8204.0,1348.0,821.0,2434.0,1989.0,1500.0
http//usatoday.com/,4946625.0,568.0,4980111.0,626.0,22005.0,3602.0,417.0,16160.0,5354.0,1300.0
http//vkontakte.ru/,1450590.0,51.0,1564948.0,55.0,6212.0,305.0,1642.0,5754.0,4480.0,4400.0
http//webs.com/,1042010.0,71.0,1075509.0,73.0,4476.0,485.0,695.0,3402.0,2141.0,1500.0
http//wired.com/,5380288.0,470.0,5901408.0,508.0,18103.0,1398.0,518.0,15424.0,5677.0,1500.0
http//www.gov.uk/,426765.0,28.0,429563.0,30.0,1916.0,363.0,546.0,1728.0,1136.0,1100.0
http//xing.com/,288958.0,19.0,426085.0,41.0,6486.0,309.0,1362.0,4208.0,2930.0,2700.0
